,Year/Quarter,Fixed 30-year Rate
0,1975Q1,9.1685
1,1975Q2,8.8754
2,1975Q3,8.9838
3,1975Q4,9.1608
4,1976Q1,8.8731
5,1976Q2,8.7769
6,1976Q3,8.9677
7,1976Q4,8.8471
8,1977Q1,8.6933
9,1977Q2,8.8077
10,1977Q3,8.925
11,1977Q4,8.9369
12,1978Q1,9.1269
13,1978Q2,9.5577
14,1978Q3,9.76
15,1978Q4,10.1223
16,1979Q1,10.4092
17,1979Q2,10.7638
18,1979Q3,11.1569
19,1979Q4,12.4846
20,1980Q1,13.68
21,1980Q2,14.4192
22,1980Q3,12.6431
23,1980Q4,14.2262
24,1981Q1,15.1269
25,1981Q2,16.2392
26,1981Q3,17.38
27,1981Q4,17.7357
28,1982Q1,17.4142
29,1982Q2,16.7662
30,1982Q3,16.2215
31,1982Q4,14.0329
32,1983Q1,13.03
33,1983Q2,12.7631
34,1983Q3,13.6414
35,1983Q4,13.46
36,1984Q1,13.3331
37,1984Q2,14.0354
38,1984Q3,14.4938
39,1984Q4,13.6485
40,1985Q1,13.0638
41,1985Q2,12.7854
42,1985Q3,12.1408
43,1985Q4,11.7308
44,1986Q1,10.5838
45,1986Q2,10.2462
46,1986Q3,10.2354
47,1986Q4,9.6838
48,1987Q1,9.1146
49,1987Q2,10.3431
50,1987Q3,10.4815
51,1987Q4,10.8643
52,1988Q1,10.0683
53,1988Q2,10.3592
54,1988Q3,10.4964
55,1988Q4,10.41
56,1989Q1,10.82
57,1989Q2,10.6362
58,1989Q3,10.0077
59,1989Q4,9.8138
60,1990Q1,10.1315
61,1990Q2,10.3238
62,1990Q3,10.1031
63,1990Q4,9.9592
64,1991Q1,9.5008
65,1991Q2,9.5223
66,1991Q3,9.2731
67,1991Q4,8.69
68,1992Q1,8.6885
69,1992Q2,8.6777
70,1992Q3,8.0177
71,1992Q4,8.1921
72,1993Q1,7.7233
73,1993Q2,7.4531
74,1993Q3,7.0877
75,1993Q4,7.0464
76,1994Q1,7.2958
77,1994Q2,8.4277
78,1994Q3,8.5943
79,1994Q4,9.1054
80,1995Q1,8.7854
81,1995Q2,7.9177
82,1995Q3,7.6962
83,1995Q4,7.3392
84,1996Q1,7.2723
85,1996Q2,8.1023
86,1996Q3,8.1469
87,1996Q4,7.7031
88,1997Q1,7.7931
89,1997Q2,7.9269
90,1997Q3,7.47
91,1997Q4,7.2054
92,1998Q1,7.05
93,1998Q2,7.0977
94,1998Q3,6.8723
95,1998Q4,6.7643
96,1999Q1,6.8775
97,1999Q2,7.1815
98,1999Q3,7.7862
99,1999Q4,7.8407
100,2000Q1,8.2569
101,2000Q2,8.3162
102,2000Q3,8.02
103,2000Q4,7.6208
104,2001Q1,7.0069
105,2001Q2,7.13
106,2001Q3,6.9638
107,2001Q4,6.7708
108,2002Q1,6.9715
109,2002Q2,6.8131
110,2002Q3,6.2892
111,2002Q4,6.0754
112,2003Q1,5.8408
113,2003Q2,5.5069
114,2003Q3,6.0338
115,2003Q4,5.9193
116,2004Q1,5.5975
117,2004Q2,6.1062
118,2004Q3,5.8943
119,2004Q4,5.7362
120,2005Q1,5.7685
121,2005Q2,5.7085
122,2005Q3,5.7638
123,2005Q4,6.2262
124,2006Q1,6.2469
125,2006Q2,6.6023
126,2006Q3,6.56
127,2006Q4,6.2438
128,2007Q1,6.2146
129,2007Q2,6.3585
130,2007Q3,6.5515
131,2007Q4,6.2246
132,2008Q1,5.8723
133,2008Q2,6.0869
134,2008Q3,6.3223
135,2008Q4,5.8414
136,2009Q1,5.06
137,2009Q2,5.0123
138,2009Q3,5.1623
139,2009Q4,4.9221
140,2010Q1,4.9958
141,2010Q2,4.9223
142,2010Q3,4.4471
143,2010Q4,4.4362
144,2011Q1,4.8469
145,2011Q2,4.6508
146,2011Q3,4.2915
147,2011Q4,4.0023
148,2012Q1,3.9223
149,2012Q2,3.7946
150,2012Q3,3.5538
151,2012Q4,3.3592
152,2013Q1,3.4969
153,2013Q2,3.6723
154,2013Q3,4.44
155,2013Q4,4.2931
156,2014Q1,4.3646
157,2014Q2,4.2277
158,2014Q3,4.1354
159,2014Q4,3.9636
160,2015Q1,3.7167
161,2015Q2,3.8192
162,2015Q3,3.9546
163,2015Q4,3.8979
164,2016Q1,3.7385
165,2016Q2,3.5892
166,2016Q3,3.4462
167,2016Q4,3.8423
168,2017Q1,4.1731
169,2017Q2,3.98
170,2017Q3,3.8838
171,2017Q4,3.9223
172,2018Q1,4.2823
173,2018Q2,4.5446
174,2018Q3,4.5669
175,2018Q4,4.7846
176,2019Q1,4.3738
177,2019Q2,4.0108
178,2019Q3,3.6585
179,2019Q4,3.7
180,2020Q1,3.5215
181,2020Q2,3.2392
182,2020Q3,2.9523
183,2020Q4,2.7607
184,2021Q1,2.8758
185,2021Q2,3.0038
186,2021Q3,2.8721
187,2021Q4,3.0792
188,2022Q1,3.8223
189,2022Q2,5.2662
190,2022Q3,5.6231
191,2022Q4,6.6646
192,2023Q1,6.3723
