DATE,ASPS,ASPW,ASPUS,ASPNE,ASPMW
1/1/1975,38000,42300,40900,47300,41800
4/1/1975,39800,43600,42600,46400,44000
7/1/1975,39200,43600,42200,47400,42900
10/1/1975,41300,47400,44400,47700,44500
1/1/1976,43000,49200,46000,48600,45100
4/1/1976,43700,51600,47800,48100,49400
7/1/1976,44200,52000,48100,50700,47800
10/1/1976,44200,54900,50300,53100,52600
1/1/1977,45100,57900,51600,54000,51500
4/1/1977,48300,61200,54300,55800,54100
7/1/1977,48300,60700,54000,52900,54800
10/1/1977,50400,65300,57500,55700,60900
1/1/1978,52400,66800,59300,61000,59600
4/1/1978,54800,69600,61600,60800,63400
7/1/1978,56800,70000,63500,64000,66000
10/1/1978,58600,76200,66400,65400,68400
1/1/1979,60900,77000,68300,69300,66200
4/1/1979,64000,82000,72400,73400,75800
7/1/1979,66300,86300,74200,70600,73700
10/1/1979,62900,86200,72700,74900,76100
1/1/1980,65800,86800,73600,73400,73300
4/1/1980,66800,90000,74400,74900,73600
7/1/1980,71300,87600,77500,83800,74400
10/1/1980,72500,95100,80000,85800,76600
1/1/1981,72500,92400,80900,85600,88600
4/1/1981,75900,97100,84300,95100,82700
7/1/1981,77800,97400,83800,84000,78900
10/1/1981,77600,97400,83700,87100,78800
1/1/1982,76000,92100,81200,79400,86100
4/1/1982,79800,96300,85700,93700,84200
7/1/1982,79600,88500,83900,91200,85900
10/1/1982,77500,93600,84600,90200,95300
1/1/1983,79900,93600,86700,91800,99100
4/1/1983,82700,95300,89100,93300,97800
7/1/1983,84200,103400,92500,98600,99600
10/1/1983,84700,97900,90800,102000,93800
1/1/1984,86500,106000,94700,98800,99300
4/1/1984,85400,110000,99200,114900,109600
7/1/1984,85200,109200,98500,108900,113700
10/1/1984,85300,111600,97800,107100,108300
1/1/1985,86800,112800,98500,113200,99900
4/1/1985,89700,113000,100500,118100,93400
7/1/1985,88500,108700,100500,126900,90900
10/1/1985,91100,113100,103800,125000,99800
1/1/1986,92500,111600,106300,142600,98400
4/1/1986,93900,117700,112000,150700,103500
7/1/1986,96700,121800,114400,155100,102500
10/1/1986,98000,116400,115600,157400,106800
1/1/1987,102300,128300,120800,164200,110700
4/1/1987,103600,134700,126100,180700,113300
7/1/1987,108000,139300,129900,176400,113800
10/1/1987,111200,139900,133500,167800,126600
1/1/1988,112900,154900,137900,185000,124200
4/1/1988,109900,150200,134800,177300,126300
7/1/1988,120700,160900,141500,179800,119600
10/1/1988,115600,158000,140400,182600,122100
1/1/1989,118300,164300,144300,185500,128900
4/1/1989,121100,174100,146800,178400,133900
7/1/1989,119800,181700,150200,202000,122200
10/1/1989,125900,174200,151200,188600,135400
1/1/1990,122300,176800,149500,182700,141300
4/1/1990,128700,176900,151200,185100,135900
7/1/1990,119100,185500,145500,192900,121500
10/1/1990,119600,185400,150100,200200,126400
1/1/1991,122600,186500,151100,188100,143200
4/1/1991,124700,176200,148200,197700,131500
7/1/1991,122000,175800,145400,183900,129000
10/1/1991,123100,164000,144400,188200,135100
1/1/1992,130900,156500,144500,209000,131300
4/1/1992,126000,160500,145300,197800,141500
7/1/1992,121200,161000,141700,189000,130600
10/1/1992,131600,156300,147200,191200,142600
1/1/1993,131200,160400,144700,175200,142500
