year_quarter,southern_average_price,western_average_price,nationwide_average_price,northeastern_average_price,midwestern_average_price
1975Q2,39800,43600,42600,46400,44000
1976Q2,43700,51600,47800,48100,49400
1977Q2,48300,61200,54300,55800,54100
1978Q2,54800,69600,61600,60800,63400
1979Q2,64000,82000,72400,73400,75800
1980Q2,66800,90000,74400,74900,73600
1981Q2,75900,97100,84300,95100,82700
1982Q2,79800,96300,85700,93700,84200
1983Q2,82700,95300,89100,93300,97800
1984Q2,85400,110000,99200,114900,109600
1985Q2,89700,113000,100500,118100,93400
1986Q2,93900,117700,112000,150700,103500
1987Q2,103600,134700,126100,180700,113300
1988Q2,109900,150200,134800,177300,126300
1989Q2,121100,174100,146800,178400,133900
1990Q2,128700,176900,151200,185100,135900
1991Q2,124700,176200,148200,197700,131500
1992Q2,126000,160500,145300,197800,141500
1993Q2,136100,160300,148900,185000,140700
1994Q2,138700,167000,154200,202400,150600
1995Q2,140500,169300,158900,209400,160500
1996Q2,140900,189400,166000,238400,155900
1997Q2,151500,199500,177200,239300,173000
1998Q2,155500,197400,178800,242800,172900
1999Q2,173500,215400,191800,248300,177300
2000Q2,174700,237400,202400,254800,197700
2001Q2,182400,247100,211200,301200,198200
2002Q2,199200,275100,227600,288900,198700
2003Q2,205600,293800,241000,315200,206500
2004Q2,214900,337900,265300,333400,239800
2005Q2,236600,386200,287800,373000,239700
2006Q2,250700,413200,302600,431200,242300
2007Q2,264000,414000,310100,404900,261600
2008Q2,268100,375400,304200,511000,239100
2009Q2,243500,336900,273400,377300,234000
2010Q2,233700,322200,268800,432200,220500
2011Q2,244200,311000,267600,348700,247500
2012Q2,253000,313400,282700,411800,261000
2013Q2,295100,355000,320400,480900,289600
2014Q2,310200,391200,340600,473800,305700
2015Q2,306300,391100,339700,485000,325300
2016Q2,314400,439600,357900,541300,296500
2017Q2,336100,432700,376900,583500,322300
2018Q2,327200,483700,378400,576600,316600
2019Q2,334500,464400,376700,608200,310600
2020Q2,327000,457800,374500,608300,329800
2021Q2,391000,531600,440600,722900,370000
2022Q2,482000,647300,527500,707000,438700
